Id,Imię,Nazwisko,Stypendium,Rok,Kierunek,Miasto,Ulica
1,Cezary,Popławski,true,5,Elektrotechnika,Szczecin,Lubelska
2,Lidia,Walczak,false,1,Informatyka,Szczecin,Wita Stwosza
3,Luiza,Kasprzak,false,5,Informatyka,Kraków,Henryka Sienkiewicza
4,Natasza,Flis,false,4,Elektrotechnika,Bydgoszcz,Szczecińska
5,Karyna,Gaweł,false,3,Automatyka i Robotyka,Kraków,Juliusza Słowackiego
6,Gabriela,Zawadzki,true,1,Informatyka,Katowice,Adama Mickiewicza
7,Wilma,Mielczarek,true,1,Mikroelektronika w technice i medycynie,Szczecin,Racławicka
8,Oskar,Konieczny,false,5,Automatyka i Robotyka,Gdańsk,Kolejowa
9,Igor,Adamski,false,2,Automatyka i Robotyka,Warszawa,Chłodna
10,Martyna,Kruk,false,4,Informatyka,Bydgoszcz,Stefana Wyszyńskiego
11,Weronika,Sikorski,false,2,Inżynieria Biomedyczna,Wrocław,Grunwaldzka
12,Daria,Panek,false,2,Inżynieria Biomedyczna,Katowice,Jana Kasprowicza
13,Mirosław,Zawadzki,false,2,Automatyka i Robotyka,Wrocław,Uniwersytecka
14,Krzysztof,Tokarski,false,3,Mikroelektronika w technice i medycynie,Kraków,Janusza Korczaka
15,Iza,Sobieraj,false,3,Mikroelektronika w technice i medycynie,Szczecin,Zamkowa
16,Dominik,Jagodziński,false,3,Mikroelektronika w technice i medycynie,Warszawa,Stanisława Małachowskiego
17,Łukasz,Turek,false,5,Informatyka,Kraków,3 Maja
18,Monika,Adamski,false,2,Mikroelektronika w technice i medycynie,Poznań,Krakowska
19,Łucja,Socha,false,5,Inżynieria Biomedyczna,Warszawa,Aleja 29 Listopada
20,Łukasz,Paluch,false,3,Elektrotechnika,Kraków,Piekarska
21,Elżbieta,Dudziak,false,2,Automatyka i Robotyka,Lublin,Grottgera
22,Ada,Gawlik,false,1,Mikroelektronika w technice i medycynie,Kraków,Warszawska
23,Maryla,Socha,false,1,Automatyka i Robotyka,Kraków,Browarna
24,Hanna,Cichocki,false,1,Mikroelektronika w technice i medycynie,Kielce,Uniwersytecka
25,Weronika,Michalik,true,1,Mikroelektronika w technice i medycynie,Kielce,Śląska
26,Jan,Rakowski,false,4,Inżynieria Biomedyczna,Gdańsk,Stanisława Małachowskiego
27,Cecylia,Bujak,true,5,Informatyka,Kielce,Szpitalna
28,Pola,Morawski,false,1,Inżynieria Biomedyczna,Warszawa,Browarna
29,Maurycy,Cieśla,true,5,Automatyka i Robotyka,Gdańsk,Bolesława Leśmiana
30,Wanda,Sroka,false,3,Automatyka i Robotyka,Gdańsk,Tadeusza Kościuszki
31,Samanta,Szymański,false,1,Elektrotechnika,Szczecin,Grottgera
32,Walentyna,Popławski,true,3,Automatyka i Robotyka,Lublin,Andrzeja Struga
33,Bogdan,Konieczny,false,1,Elektrotechnika,Kielce,Aleja Niepodległości
34,Helga,Żurek,false,1,Mikroelektronika w technice i medycynie,Gdańsk,Piękna
35,Mariola,Mikulski,false,4,Inżynieria Biomedyczna,Gdańsk,Obornicka
36,Zuzanna,Mierzejewski,false,5,Informatyka,Warszawa,Powstańców Śląskich
37,Joanna,Wojciechowski,false,3,Automatyka i Robotyka,Lublin,Wincentego Witosa
38,Kamil,Socha,false,3,Informatyka,Katowice,Opolska
39,Arkadiusz,Szulc,true,1,Inżynieria Biomedyczna,Katowice,Juliusza Słowackiego
40,Feliks,Orzechowski,false,3,Informatyka,Kielce,Szewska
41,Daniel,Polak,true,3,Inżynieria Biomedyczna,Kraków,Armii Krajowej
42,Faustyna,Gutowski,false,3,Mikroelektronika w technice i medycynie,Kraków,Andrzeja Struga
43,Weronika,Grzyb,false,3,Inżynieria Biomedyczna,Kraków,Browarna
44,Alina,Fijałkowski,false,3,Mikroelektronika w technice i medycynie,Katowice,Toruńska
45,Ewelina,Mielczarek,false,3,Mikroelektronika w technice i medycynie,Warszawa,Szczecińska
